id;codigo;nome;endereco;cidade;uf;bairro;rede;vendedor;loja;reigao;latitude;longitude;created_at
;213;Atakarejo Porto Seguro ;;Porto Seguro;BA;;Atakarejo;Ricardo Santos;22;;;;
;213;Atakarejo S. Goncalo Dos Campos ;;Sao Goncalo Dos Campos;BA;;Atakarejo;Ricardo Santos;25;;;;
;213;Atakarejo Salvador ;;Salvador;BA;;Atakarejo;Ricardo Santos;9;;;;
;213;Atakarejo Sete De Abril ;;Salvador;BA;;Atakarejo;Ricardo Santos;32;;;;
;213;Atakarejo Simoes Filho Lj;;Simoes Filho;BA;;Atakarejo;Ricardo Santos;30;;;;
;213;Atakarejo Vasco;;Salvador;BA;;Atakarejo;Ricardo Santos;15;;;;
;213;Atakarejo Vitoria Da Conquista ;;Vitoria Da Conquista;BA;;Atakarejo;Ricardo Santos;23;;;;
;4383;Cdp Alagoinhas ;;Alagoinhas;BA;;Cesta Do Povo;Ricardo Santos;1;;;;
;4245;Cdp Alagoinhas Loja;;Alagoinhas;BA;;Cesta Do Povo;Nixon;4;;;;
;4245;Cdp Armacao Stiep Loja;;Salvador;BA;;Cesta Do Povo;Nixon;1;;;;
;2647;Cdp Boca Do Rio Loja;;Salvador;BA;;Cesta Do Povo;Nixon;1;;;;
;4245;Cdp Castelo Branco Loja;;Salvador;BA;;Cesta Do Povo;Nixon;7;;;;
;4382;Cdp Catu Loja;;Catu;BA;;Cesta Do Povo;Nixon;1;;;;
;5085;Cdp Cd Monte Libano ;;Mata De Sao Joao;BA;;Cesta Do Povo;Nixon;1;;;;
;4245;Cdp Centro Dias Davila ;;Dias D'Avila;BA;;Cesta Do Povo;Nixon;15;;;;
;4245;Cdp CentroSede ;;Mata De Sao Joao;BA;;Cesta Do Povo;Nixon;16;;;;
;4245;Cdp Manoel Dia D'Avila Loja;;Dias D'Avila;BA;;Cesta Do Povo;Nixon;6;;;;
;4245;Cdp Marechal Rondon Loja;;Salvador;BA;;Cesta Do Povo;Nixon;9;;;;
;4245;Cdp Mata Premium Lj;;Mata De Sao Joao;BA;;Cesta Do Povo;Nixon;3;;;;
;4245;Cdp Ogunja Loja;;Salvador;BA;;Cesta Do Povo;Nixon;8;;;;
;4245;Cdp Rodoviaria Loja;;Salvador;BA;;Cesta Do Povo;Nixon;5;;;;
;4245;Cdp Sao Caetano Loja;;Salvador;BA;;Cesta Do Povo;Nixon;10;;;;
;2797;Cdp Sete Portas Loja;;Salvador;BA;;Cesta Do Povo;Nixon;1;;;;
;4245;Cdp Sete Portas Novo ;;Salvador;BA;;Cesta Do Povo;Nixon;19;;;;
;4245;Cdp Super Centro Mata Loja;;Mata De Sao Joao;BA;;Cesta Do Povo;Nixon;2;;;;
;4245;Cdp Super Mata Loja;;Mata De Sao Joao;BA;;Cesta Do Povo;Nixon;11;;;;
;4245;Cesta Do Povo Boca Do Rio ;;Salvador;BA;;Cesta Do Povo;Nixon;17;;;;
;4245;Cesta Do Povo Catu;;Catu;BA;;Cesta Do Povo;Nixon;18;;;;
;2819;Compre Bem Alagoinhas ;;Alagoinhas;BA;;Compre Bem;Nixon;1;;;;
;4379;Compre Bem Conselheiro Junq ;;Alagoinhas;BA;;Compre Bem;Nixon;3;;;;
;4379;Compre Bem Dantas Luma ;;Alagoinhas;BA;;Compre Bem;Nixon;4;;;;
;4379;Rede Compre Bem;;Alagoinhas;BA;;Compre Bem;Nixon;1;;;;
;4379;Supermercado Compre Bem ;;Alagoinhas;BA;;Compre Bem;Nixon;2;;;;
;1600;Dist Sao Roque Calumbi ;;Feira De Santana;BA;;Dist Sao Roque;Nixon;4;;;;
;1600;Dist Sao Roque Centro ;;Feira De Santana;BA;;Dist Sao Roque;Nixon;2;;;;
;1600;Dist Sao Roque Conceicao ;;Feira De Santana;BA;;Dist Sao Roque;Nixon;7;;;;
;1600;Dist Sao Roque Mangabeira ;;Feira De Santana;BA;;Dist Sao Roque;Nixon;3;;;;
;1600;Dist Sao Roque Sim ;;Feira De Santana;BA;;Dist Sao Roque;Nixon;5;;;;
;1600;Dist Sao Roque Sta Monica ;;Feira De Santana;BA;;Dist Sao Roque;Nixon;1;;;;
;1600;Dist Sao Roque Sto Estevao ;;Santo Estevao;BA;;Dist Sao Roque;Nixon;6;;;;
;1600;Dist Sao Roque Artemia Pires ;;Feira De Santana;BA;;Dist Sao Roque;Nixon;8;;;;
;6049;Economart Feira De Santana ;;Feira De Santana;BA;;Economart;Nixon;1;;;;
;6049;Economart Itabuna ;;Itabuna;BA;;Economart;Nixon;7;;;;
;6049;Economart Jequie ;;Jequie;BA;;Economart;Nixon;3;;;;
;6049;Economart Luis Eduardo ;;Luis Eduardo Magalhaes;BA;;Economart;Nixon;4;;;;
;6049;Economart Santo Antonio ;;Santo Antonio De Jesus;BA;;Economart;Nixon;6;;;;
;6049;Economart Vitoria Da Conquista ;;Vitoria Da Conquista;BA;;Economart;Nixon;2;;;;
;1926;Feirao Das Frutas Atras Da Banca ;;Petrolina;PE;;Feirao das Frutas;Antonio;1;;;;
;1926;Feirao Das Frutas Maria Auxiliadora ;;Petrolina;PE;;Feirao das Frutas;Antonio;2;;;;
;82;G Barbosa Farolandia ;;Aracaju;SE;;G Barbosa;Vinicius;64;;;;
;82;G Barbosa Hiper Norte ;;Aracaju;SE;;G Barbosa;Vinicius;55;;;;
